# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 49218 62754 6249 62754
-8.727522439720125647e-01 -2.373627696355897642e+05 1.357920121754219167e-02 34541 62699 38284 54914
-1.847584829354056879e+00 -3.269726019397739947e+04 4.258101936694040912e-01 14125 62741 47819 23565
-2.839910800584919848e+00 -6.280495250299763939e+03 5.106402149744040386e-01 54245 62398 45585 32887
-3.862007412170457066e+00 -2.195697137626679250e+03 7.469532343717601997e-01 37377 62121 36996 30728
-4.926658387798043215e+00 -8.089417319964995841e+02 7.015726363564822599e-02 21442 62231 58916 22805
-5.860892987464660919e+00 -3.641489003758086938e+02 7.862517766733623237e-01 9443 62022 47555 43431
-6.892531593552003955e+00 -1.785385340634975933e+02 4.450426723296168063e-01 60676 62010 49261 33277
-7.896038316472609786e+00 -1.146102440132244737e+02 4.646617997119572574e-01 49037 62060 59373 34196
-8.849963020219075105e+00 -9.229357616807448039e+01 3.523414501353192563e-01 38486 62194 50923 43891
-9.864915766069410452e+00 -8.325256372755437440e+01 6.932905237695131673e-01 27339 62472 47548 36753
-1.088400206707144235e+01 -7.994992543496218218e+01 2.664806238102244151e-01 17640 62463 28173 32812
-1.200298876710611040e+01 -7.868723036889602440e+01 8.828427656156653258e-01 7382 63249 25779 16340
-1.310409422245721167e+01 -7.827169730919247570e+01 3.099373474726292432e-01 63263 63577 39309 13649
-1.412263205742000771e+01 -7.814058269937379464e+01 8.367722963578629880e-01 55079 63557 45694 26168
-1.513122616074494609e+01 -7.809473546604036187e+01 6.063787798130702150e-02 47136 63082 47779 30978
-1.613808295728187048e+01 -7.807787674731891059e+01 5.110606501449526107e-01 40429 63040 62552 35226
-1.707836016422454151e+01 -7.807206845681281493e+01 6.279868539024111573e-01 33423 63389 39916 48870
-1.816111489757813047e+01 -7.806958430856468567e+01 2.768105794641704254e-01 27735 63383 41388 30009
-1.920023845720120192e+01 -7.806876377553848556e+01 1.206209187070728106e-01 21733 63490 33891 32220
-2.028517821740963001e+01 -7.806846581723854683e+01 4.169378657258848014e-02 16561 63512 64657 26412
-2.119834061796120395e+01 -7.806837174057513096e+01 2.822080315883006563e-01 12344 63789 52760 56649
-2.222744970361435435e+01 -7.806833253856575539e+01 8.275481495104359819e-01 7616 63283 61770 44252
-2.318857101272283217e+01 -7.806831898561549110e+01 1.710100903457918986e-01 3876 63630 3503 53605
-2.413210326282752050e+01 -7.806831377226905033e+01 7.849178055152281619e-01 589 63243 27706 60513
-2.498002541105239871e+01 -7.806831185920236749e+01 7.272139412036997541e-01 62359 63380 48879 19232
-2.607931558631467794e+01 -7.806831090386867800e+01 9.917780678590571997e-01 58982 63123 44400 40223
-2.712164797014352047e+01 -7.806831058970709591e+01 3.131813768102544304e-01 56113 63370 6895 35967
-2.801632648651573376e+01 -7.806831048329169676e+01 9.655281835823763537e-01 53620 63538 61160 64181
-2.901703405625953991e+01 -7.806831043652280755e+01 8.005187878379180777e-01 50770 63346 0 0
