# m c logL logPrior
-9.753824716968647124e+01 9.820365454841974540e+00 -6.532178406586739421e+07 -4.756854830467425899e+01
-8.144969994284230097e+01 9.686922330543330517e+00 -4.596961642881327868e+07 -3.317026810389522495e+01
7.632200435650233317e+01 -2.426950606743615957e+00 -3.431161823942411691e+07 -2.912524174496980578e+01
5.690469351468811254e+01 -6.647674887232131624e+00 -1.791689643254169077e+07 -1.619072072000293971e+01
-3.986098388513435253e+01 -8.729099768584411834e+00 -1.321501751208708994e+07 -7.944490181454702871e+00
-3.991599127183860674e+01 1.679881075299595850e+00 -1.233324135731835105e+07 -7.966431796067479532e+00
4.102920642125148731e+01 7.454808804130511390e+00 -9.725618731509732082e+06 -8.416978897788322200e+00
4.261230022400628314e+01 -5.066446816246537921e+00 -9.572185912505853921e+06 -9.079040651904229264e+00
-3.393561559346553480e+01 2.090362105687124661e-01 -9.273328071307426319e+06 -5.758130028537306266e+00
-3.368464312013213657e+01 1.472007978592412947e+00 -9.056738632969764993e+06 -5.673275910653327259e+00
3.969804458743425357e+01 4.881200192225950474e+00 -8.874866730873806402e+06 -7.879673720329590125e+00
4.032252320752367325e+01 -2.718851752706585856e+00 -8.624988785114981234e+06 -8.129529389106426862e+00
-3.090891038731953699e+01 -9.838596849534102518e+00 -8.548124664696427062e+06 -4.776803706656747472e+00
-3.199690513747088261e+01 2.004789640548445551e+00 -8.214932413435169496e+06 -5.119009691881553081e+00
-3.158131814585442498e+01 2.827455681065888626e+00 -7.966292635436148383e+06 -4.986898279148370250e+00
3.811526030725602254e+01 -9.449907877616499974e+00 -7.164515698479595594e+06 -7.263865341449432300e+00
-2.930439855573450103e+01 3.468037495656479230e+00 -6.917689229815460742e+06 -4.293738873566671721e+00
3.629916910006721054e+01 -4.123312891798969204e+00 -6.727678480382347479e+06 -6.588148386776371268e+00
3.556762455430865089e+01 -4.685127340150197384e+00 -6.389269773689978756e+06 -6.325279582181297933e+00
-2.617805249528787215e+01 -7.981945980998611745e+00 -6.337584443153699860e+06 -3.426452162230237519e+00
-2.524702456020082764e+01 -5.485691134755633414e+00 -5.813588863497413695e+06 -3.187061245716918734e+00
-2.550034516715724209e+01 -6.056137236071724717e-01 -5.624604177559277974e+06 -3.251338018220798265e+00
-2.660203018766331695e+01 8.922379905684326928e+00 -5.499661793513192795e+06 -3.538340050526751934e+00
-2.656531296916530493e+01 9.045011084694701609e+00 -5.478803804212954827e+06 -3.528579265748512217e+00
-2.577459212884465956e+01 4.698025731614176692e+00 -5.425023108918004669e+06 -3.321647997041504929e+00
-2.625917967187272950e+01 8.733640519840157879e+00 -5.380699377829035744e+06 -3.447722585198469414e+00
3.291025680094415407e+01 -4.771065585077977289e+00 -5.342334861438397318e+06 -5.415425013520454023e+00
3.077780400923334625e+01 5.264400880285032613e+00 -5.111941716870549135e+06 -4.736366098153901305e+00
-2.524803511125213262e+01 7.194849437113524537e+00 -5.090765658722708002e+06 -3.187316384895102050e+00
-2.350024953627969637e+01 -3.949088604263100155e-01 -4.870693077945748344e+06 -2.761308641337070657e+00
-2.396748012146120388e+01 3.156199593272976944e+00 -4.846466228506082669e+06 -2.872200516863189446e+00
-2.474657750256458399e+01 8.641602358486348834e+00 -4.832088355525298044e+06 -3.061965490452177807e+00
3.021140357486309114e+01 3.113439121894407968e+00 -4.790126537106208503e+06 -4.563644529816251350e+00
-2.370074742147193803e+01 4.930904128138916320e+00 -4.658248702671172097e+06 -2.808627141682043415e+00
-2.362652273987318097e+01 6.659591854084323082e+00 -4.542696110559937544e+06 -2.791062883888722368e+00
-2.214105379317469868e+01 -2.124708275173578187e+00 -4.486139758276621811e+06 -2.451131315361278595e+00
-2.189226741832998968e+01 -3.526950424437717224e+00 -4.473870559019135311e+06 -2.396356863578364749e+00
-2.183074285009395510e+01 -3.822306147490057704e+00 -4.468188694078151137e+06 -2.382906666934641926e+00
-2.267782562268880042e+01 3.221269303586831612e+00 -4.393933111472911201e+06 -2.571418874865402771e+00
2.871547102551556918e+01 3.226779564701607761e+00 -4.279950123744613491e+06 -4.122891381086120965e+00
2.758675789474925466e+01 9.906218985701942259e+00 -4.242936502623298205e+06 -3.805146055717552045e+00
-2.293517703374430283e+01 8.199998324049939669e+00 -4.230311637795073912e+06 -2.630111727845960701e+00
-2.196902614921890518e+01 3.075541880079260437e+00 -4.163668348562632687e+06 -2.413190549725320100e+00
-2.038320889394403679e+01 -7.360348123637711737e+00 -4.162935414827114902e+06 -2.077376024070796134e+00
-2.147003084721627175e+01 2.003565424605004974e-01 -4.141858464420292061e+06 -2.304811122902091558e+00
-2.193158993910028798e+01 3.521757032999950354e+00 -4.129214347489813343e+06 -2.404973186284224962e+00
-2.037350250005945185e+01 -6.342629009817866148e+00 -4.108368978278868366e+06 -2.075398020599644067e+00
-2.101568906316058971e+01 -1.246223984435950616e+00 -4.064531868810477667e+06 -2.208295933997238336e+00
-2.099909917823608296e+01 -1.107167805501617641e+00 -4.052239119848595932e+06 -2.204810831486977207e+00
-2.063670814932953945e+01 -1.370992268648150159e+00 -3.947732284326139838e+06 -2.129368616203021425e+00
-2.068326205909147220e+01 9.973397581815060531e-02 -3.891272405051471666e+06 -2.138986647025264531e+00
-1.921846326771215274e+01 -9.026415526267065559e+00 -3.868014025795103051e+06 -1.846746651862006594e+00
-2.017249128848434481e+01 -2.345835675032458489e+00 -3.846526094171356410e+06 -2.034647023919884390e+00
-2.080063117982487242e+01 3.030992572275986952e+00 -3.788351762662329245e+06 -2.163331287395513503e+00
-2.039484684334921738e+01 8.211125938932752888e-01 -3.765285604665690567e+06 -2.079748888818357955e+00
-1.886446708027167318e+01 -8.646412618264271543e+00 -3.737732661860637367e+06 -1.779340591113268477e+00
-2.030929212479003354e+01 1.246750313119162623e+00 -3.718344538818866946e+06 -2.062336733050292192e+00
-2.004010138821714548e+01 2.769507331941846173e-01 -3.680038689739284571e+06 -2.008028318250114186e+00
2.755555775395947649e+01 -1.683254800052593314e+00 -3.666731541580875870e+06 -3.796543815658981025e+00
-1.876198006842034616e+01 -7.512302666401304840e+00 -3.651538598346648272e+06 -1.760059480439011503e+00
-1.986995003762408984e+01 3.384646823138943716e-01 -3.624460449030840304e+06 -1.974074572488387691e+00
-1.861498491771338237e+01 -7.228362374379761590e+00 -3.592779701539011206e+06 -1.732588317433483516e+00
-1.877740131949497382e+01 -5.704927767762645097e+00 -3.570992774994582869e+06 -1.762954001566857665e+00
-1.837820374319052519e+01 -7.655197279017572853e+00 -3.540398268014112022e+06 -1.688791864131111042e+00
-1.937132661043596826e+01 -1.068888348197368554e+00 -3.536819133772473317e+06 -1.876241473240923385e+00
-1.862091285435056776e+01 -5.866025793512022801e+00 -3.530743724821669981e+06 -1.733691977646591109e+00
-1.797804519042904658e+01 -8.233981371021723561e+00 -3.446202563740919344e+06 -1.616050544345544848e+00
-1.976793982233284552e+01 4.443154076476726999e+00 -3.406008295953043271e+06 -1.953857224096863465e+00
-1.772384039882729567e+01 -8.502946586413390406e+00 -3.382518579480136279e+06 -1.570672592415512492e+00
-1.969368515649489026e+01 4.685308680046932572e+00 -3.373047500627587549e+06 -1.939206175215736128e+00
2.553099676661468109e+01 4.398492734849821062e+00 -3.331197418196605518e+06 -3.259158979484446661e+00
2.560987741227648939e+01 3.801685515471472598e+00 -3.327735443496837746e+06 -3.279329105359147789e+00
-1.923860109933559670e+01 2.915006070421005013e+00 -3.316777408432913478e+06 -1.850618861296784212e+00
-1.770697428970059661e+01 -6.967482915739688032e+00 -3.307574097575091291e+06 -1.567684692480589836e+00
-2.005121121546468643e+01 9.292862684829536590e+00 -3.276228229280170053e+06 -2.010255356035884677e+00
-1.841326246364407382e+01 -4.341996825055433051e-01 -3.222821247824470047e+06 -1.695241172775219018e+00
-1.896273620561112239e+01 3.440865696227178638e+00 -3.212894496013911441e+06 -1.797926822017974269e+00
-1.898731732800737149e+01 3.847806054767133332e+00 -3.202328457413678989e+06 -1.802591096572244922e+00
-1.738251365468465792e+01 -6.630073756701476029e+00 -3.197654308382693678e+06 -1.510758904776492662e+00
-1.964229870776322429e+01 8.950261775404342757e+00 -3.172036002358218189e+06 -1.929099492624984036e+00
-1.698603951994148531e+01 -8.043011705440887837e+00 -3.145936500891927164e+06 -1.442627692865069644e+00
-1.676438948248317473e+01 -9.231647171425395371e+00 -3.134924617701972369e+06 -1.405223773601962600e+00
-1.930545712582376439e+01 8.424993871895427588e+00 -3.097730312000332400e+06 -1.863503374185097705e+00
-1.941035709581474578e+01 9.274443957732350086e+00 -3.091800161222818773e+06 -1.883809812935229200e+00
-1.929165211210640507e+01 9.022696921399479209e+00 -3.068636657124015968e+06 -1.860839206072697705e+00
-1.677246207728805771e+01 -7.644672801698714437e+00 -3.067461643431111705e+06 -1.406577420670330092e+00
-1.800157337869213592e+01 1.637361726668209450e+00 -3.015517596214261837e+06 -1.620283220542186875e+00
2.626110075857970827e+01 -8.455271620111844300e+00 -2.987639520040084608e+06 -3.448227065261378232e+00
-1.706890422524679707e+01 -2.793098741901679283e+00 -2.942212598871664144e+06 -1.456737457253239887e+00
-1.662076446416131148e+01 -3.200897081970227376e+00 -2.835885246561805718e+06 -1.381249056865637037e+00
-1.604636229805970160e+01 -6.494531481609752355e+00 -2.816658793929967098e+06 -1.287428715002959301e+00
