# level_assignment log_likelihood tiebreaker ID
0 -3.023919618907214608e+05 2.447942353963877271e-01 1
0 -2.879466185370763997e+05 6.152371021497644588e-01 2
2 -3.884657642623474658e+03 7.175629422976941285e-01 1
3 -1.082903340781896986e+04 6.453024310917663264e-01 2
4 -6.374857329654257683e+02 6.968786633428724064e-01 0
4 -2.021451291429127195e+03 4.027310856556069463e-01 2
3 -8.740336028975785894e+02 1.804834416816882836e-01 4
4 -2.527677578863240797e+03 6.710792617104789637e-02 4
2 -2.451446663319214713e+04 7.377449728250538019e-01 4
2 -3.415733568405165715e+04 6.374512455978589287e-01 0
3 -4.266754099668903109e+03 2.976169533574076764e-01 3
5 -1.151880103310609911e+03 8.245418409723113129e-01 0
1 -3.728276773209446401e+04 6.354197409983967093e-01 0
5 -8.537800603537225470e+02 6.054757230744267638e-01 2
8 -8.625939172849570014e+01 7.428230303382296063e-01 4
6 -7.440080045256905805e+01 5.254189404742861669e-01 1
2 -1.458963601797042065e+04 5.254613990892957887e-01 1
6 -4.585679533707578912e+02 4.359330036395145935e-01 3
1 -5.178709013159857568e+04 1.135814934920388874e-01 2
4 -4.739408879126519878e+02 8.027979169028746087e-01 2
7 -2.065689204337568867e+02 7.666335579040395309e-01 2
5 -6.433447458172946654e+02 4.578674309303319978e-01 4
2 -1.828997832804227073e+04 9.610100642435684959e-01 3
2 -2.578609657070057438e+03 8.174418376187375657e-02 2
5 -7.510107638309648337e+02 6.877714311739162589e-01 3
3 -4.766226180549835590e+03 3.543086076278117447e-01 4
12 -7.118416448812770625e+01 9.885074287763220280e-01 4
13 -7.071067497699144155e+01 9.396014496214846190e-01 0
3 -6.566018828047620445e+03 4.969582362305473566e-01 4
9 -7.248707438610895792e+01 6.012095258429549505e-01 1
12 -7.086983508892669192e+01 1.863072969710319882e-01 4
9 -7.917056603980987006e+01 6.891255151051682848e-01 1
8 -9.259825356141911357e+01 2.436560149455840874e-01 4
13 -7.065948031493536519e+01 3.176309903420038716e-01 2
6 -1.974984616583257662e+02 7.424560481867557016e-01 4
