# log_X log_likelihood tiebreaker accepts tries exceeds visits
0.000000000000000000e+00 -1.797693134862315708e+308 0.000000000000000000e+00 312746 326631 123968 326631
-9.715220734345882958e-01 -1.909662503537600860e+05 7.660766754661167965e-01 296096 326482 152173 437947
-2.024654014454801310e+00 -2.307482882480646367e+04 1.860354343722973591e-01 273463 326677 173558 467850
-3.016817378092401025e+00 -5.024234723120733179e+03 8.706656746423334647e-01 248727 326632 184442 488322
-3.992040825642351187e+00 -1.909515112012534928e+03 3.318909890629710979e-01 232988 326621 186682 499059
-4.976344815435017388e+00 -7.642861087019198294e+02 1.095960588380027190e-01 219012 326547 198286 501530
-5.908429236485385871e+00 -3.482408551548760443e+02 2.746265742563682721e-01 206409 326306 193693 512524
-6.883047462154817886e+00 -1.792986604833929505e+02 7.406314162011998770e-01 193958 326649 194051 508557
-7.848606610932513661e+00 -1.155165639993331723e+02 5.526868461992352488e-01 182076 326385 185962 508424
-8.854041027161510868e+00 -9.071812167505768798e+01 3.155864477807814317e-01 170275 326589 189252 500988
-9.829097454560306701e+00 -8.175828121860955378e+01 6.149887136290623779e-01 160175 326661 187381 504465
-1.082001832136715080e+01 -7.834454525699069904e+01 2.948436411521700440e-01 150103 326819 167701 502308
-1.191103260996970015e+01 -7.700330120900702013e+01 6.035708160041153292e-01 139652 326657 160178 484239
-1.301047443677964743e+01 -7.654577718134535758e+01 2.892203880153812467e-01 130213 326200 170504 475426
-1.403432049980609442e+01 -7.639811240233372303e+01 5.761458044932297184e-01 122007 326008 172559 485084
-1.506581540100521543e+01 -7.634453757793622231e+01 3.929786808710746260e-01 113463 325820 176235 488002
-1.608318084008264037e+01 -7.632584193173416054e+01 9.845856915518198527e-01 106923 326000 181299 490670
-1.707906942955151663e+01 -7.631892590712038782e+01 1.374276347439127022e-01 100594 325781 192610 495571
-1.802732526378052214e+01 -7.631647811811798476e+01 9.596403312322121515e-01 94215 325727 167688 505935
-1.912518210207921499e+01 -7.631542315371413565e+01 6.562731406588684369e-01 88375 324989 175640 481781
-2.013367532172048513e+01 -7.631509125032151530e+01 8.045320134364225551e-01 83058 324594 163319 490434
-2.122693805460416527e+01 -7.631496285630714738e+01 1.810420639810450538e-01 77229 324008 164602 481106
-2.229486473817902592e+01 -7.631492148250205787e+01 2.154194438622889507e-01 72573 323299 180687 482350
-2.327787244094195884e+01 -7.631490765410310928e+01 8.330983500488304827e-01 68942 323279 177383 497646
-2.430753525044958607e+01 -7.631490226204246596e+01 6.804198890875401418e-01 64792 323194 188884 494256
-2.527170504857486222e+01 -7.631490044306950438e+01 9.224560415589494466e-01 62499 323574 192026 506112
-2.624262162516432539e+01 -7.631489969964603404e+01 2.426361619706561001e-01 58463 322617 215757 508329
-2.710743304684860888e+01 -7.631489944672098602e+01 7.079895973826866307e-01 55888 322928 188681 532358
-2.814256528355091547e+01 -7.631489932379585639e+01 6.341404224235620557e-01 52451 321842 171190 504195
-2.921783903898259993e+01 -7.631489927889370506e+01 6.223438913365537950e-02 49834 322172 0 0
