# m c logL logPrior
-8.360686484923550665e+01 6.051892183918445411e+00 -1.505662273446937557e+06 -3.495053924959166380e+01
-5.100766953555395844e+01 4.762595462223090159e+00 -5.873557797042492311e+05 -1.300891175724139615e+01
-5.074138830482215212e+01 5.632673158049198214e+00 -5.787250884434476029e+05 -1.287344243550371026e+01
4.985679622975376901e+01 1.823649263488565708e+00 -4.375076653998112306e+05 -1.242850065147595018e+01
4.793149121506875332e+01 -3.654200062442098940e+00 -3.872618894733419875e+05 -1.148713925050106610e+01
-3.722599137755545229e+01 -7.001717851669063464e+00 -3.550840067212502472e+05 -6.928872170209165127e+00
-3.480863096429254000e+01 -1.465867985302141907e+00 -3.019799920220533968e+05 -6.058203948041527731e+00
-3.527721667229776870e+01 4.599216585658698619e+00 -2.949966704057881143e+05 -6.222410080721218151e+00
-3.247206354606100120e+01 -9.565261739463117863e+00 -2.850670529926175368e+05 -5.272174554697119042e+00
-3.186908442244654438e+01 -9.910425304339684160e+00 -2.767843297824650654e+05 -5.078192709625125367e+00
3.927933692942762889e+01 4.854105458910618509e+00 -2.679474106505384552e+05 -7.714331548077486111e+00
-2.968527236237879663e+01 -5.212577963029896289e+00 -2.350570849012682738e+05 -4.406076976143052271e+00
3.755851476039374859e+01 -2.208283309853723342e+00 -2.284464840153729310e+05 -7.053210155033575290e+00
-3.133564041969306402e+01 8.948569056020275525e+00 -2.283220797624661645e+05 -4.909611802561508753e+00
-2.878813682822197961e+01 -3.699101856323347981e+00 -2.197638672414123721e+05 -4.143784110202153315e+00
-2.971581537888849311e+01 2.983729246352909037e+00 -2.186055705581796938e+05 -4.415148418160930177e+00
-2.924790094623976699e+01 1.083687697727177657e+00 -2.162129225497409934e+05 -4.277198548805265510e+00
-2.788429040333032916e+01 7.987033095259161719e+00 -1.856153016255008697e+05 -3.887668256486298990e+00
-2.631356812932864386e+01 -2.258864328751978512e+00 -1.853290333900433034e+05 -3.462019338484100928e+00
-2.577372144198716342e+01 -4.728897719629854279e+00 -1.833437792742385354e+05 -3.321423584845744958e+00
3.430162756248732592e+01 -3.952612946237572533e+00 -1.831342439051057445e+05 -5.883008267177951112e+00
-2.653059871336234465e+01 3.512862913474886550e+00 -1.773645064930536610e+05 -3.519363340447318578e+00
-2.510394090838532932e+01 -5.739149704514524331e+00 -1.771296987390212307e+05 -3.151039245658512122e+00
-2.517888990750395095e+01 -5.220019631506641389e+00 -1.770745622614624153e+05 -3.169882484871021866e+00
