# m c logL logPrior
3.484139387892906115e+00 1.424710240796446481e+00 -8.376677632279648833e+01 -6.069613637133377398e-02
3.532730413058321250e+00 1.202718043478429033e+00 -8.373218468344745702e+01 -6.240092085673609040e-02
3.469318613251128447e+00 1.463426551242791307e+00 -8.365081332418762372e+01 -6.018085820125366331e-02
3.498486469253833775e+00 1.007220957071262468e+00 -8.321024246621419707e+01 -6.119703787776077653e-02
3.490555127935317969e+00 1.390829176903392472e+00 -8.299514467640452153e+01 -6.091987550577772359e-02
3.475856893939572423e+00 1.434000331751728474e+00 -8.284668764548844422e+01 -6.040790573573625449e-02
3.578093235336660793e+00 7.593245212663464194e-01 -8.278188735268128084e+01 -6.401375600380986020e-02
3.565094610572101530e+00 9.598394154280045498e-01 -8.238092038573620357e+01 -6.354949791165122319e-02
3.507200897502063874e+00 9.719360613657530568e-01 -8.225861872510728290e+01 -6.150229067719641812e-02
3.533924704628424340e+00 8.453646732001059982e-01 -8.221298840574709743e+01 -6.244311908991548310e-02
3.517841960323456973e+00 1.259279925890839147e+00 -8.208726172630491646e+01 -6.187606028906190297e-02
3.561035224342815386e+00 9.831223499894254925e-01 -8.188984580921193412e+01 -6.340485934505143972e-02
3.537655218333165319e+00 1.146400373180048060e+00 -8.184933164235739866e+01 -6.257502221899938211e-02
3.571328226062498779e+00 8.754188284037496270e-01 -8.178810171532335005e+01 -6.377192649135357549e-02
3.558743056378620651e+00 9.996281724663544921e-01 -8.178773685801141369e+01 -6.332326070661521700e-02
3.558372045263370698e+00 7.752568406787242461e-01 -8.177544544206335786e+01 -6.331005806255911306e-02
3.495064324820095880e+00 1.049682459246310096e+00 -8.175148891985060118e+01 -6.107737317315076186e-02
3.562759508492006066e+00 7.701752058201967177e-01 -8.171549075215664004e+01 -6.346627657675101009e-02
3.556859133038964504e+00 7.803993745050908926e-01 -8.167721386681051854e+01 -6.325623446141345751e-02
3.573269596961138550e+00 8.068394244445358243e-01 -8.164557194237633553e+01 -6.384127806283408646e-02
3.490883547305923873e+00 1.367134465243532215e+00 -8.159564019824517800e+01 -6.093133970425596013e-02
3.542637728196206925e+00 1.108658810394959726e+00 -8.146037460757625581e+01 -6.275141036619590051e-02
3.556393942766953753e+00 7.862714395979072401e-01 -8.145253163147764042e+01 -6.323968938074739365e-02
3.464528572239144566e+00 1.400947619631529362e+00 -8.131914550791600504e+01 -6.001479113930702214e-02
3.540024472435079783e+00 8.363694548147478924e-01 -8.131894326189063804e+01 -6.265886632719633309e-02
3.501621338380561443e+00 1.320270987098075999e+00 -8.123164913880685845e+01 -6.130675998701037854e-02
3.570638261837744132e+00 8.418890506164563581e-01 -8.118637452758886752e+01 -6.374728798449832978e-02
3.569024936662869241e+00 8.732160588145362334e-01 -8.113903237399425450e+01 -6.368969499260698774e-02
3.567615450012856737e+00 8.885996585752046206e-01 -8.103598840261261671e+01 -6.363939999585217777e-02
3.470049998953696146e+00 1.397010066989315291e+00 -8.096341196121443318e+01 -6.020623497619272818e-02
3.536137803148716507e+00 8.575105500294474270e-01 -8.093479056005381267e+01 -6.252135281428716773e-02
3.561031043186776213e+00 9.577566138141863084e-01 -8.092641256691322837e+01 -6.340471045269950590e-02
3.475098183846675237e+00 1.392678920255119301e+00 -8.089173533385421422e+01 -6.038153693687230844e-02
3.465946128338135424e+00 1.382263909593740792e+00 -8.088056515614158570e+01 -6.006391282271055648e-02
3.493402635959683256e+00 1.344439599653359352e+00 -8.081957567467642889e+01 -6.101930988465031208e-02
3.541574618021313015e+00 8.405197623793315698e-01 -8.079350896302105411e+01 -6.271375387506404608e-02
3.497180104456174998e+00 1.330010855721629248e+00 -8.078155807084050366e+01 -6.115134341502052179e-02
3.485411110336784635e+00 1.131434381270596479e+00 -8.076446734700354568e+01 -6.074045304029548897e-02
3.567891413577338522e+00 8.217421851556496737e-01 -8.074721334815247076e+01 -6.364924569539449906e-02
3.535289120934306251e+00 1.140789891362993913e+00 -8.067968631633931409e+01 -6.249134584298229877e-02
3.466101323041272497e+00 1.363420460000510204e+00 -8.065965873954388599e+01 -6.006929190794229462e-02
3.466240767893428387e+00 1.330849853511647973e+00 -8.061134018382765021e+01 -6.007412530503210973e-02
3.466081318618295715e+00 1.351167424722425903e+00 -8.060518881532497915e+01 -6.006859853637372404e-02
3.566504827418167878e+00 8.194359443521884723e-01 -8.060415400736786751e+01 -6.359978341998547002e-02
3.502204606869868897e+00 1.306896392139437646e+00 -8.059314593592011988e+01 -6.132718554190265403e-02
3.566156875583718744e+00 8.181162471569163319e-01 -8.058395686142918635e+01 -6.358737430636514365e-02
3.481298319017728904e+00 1.166398941409193979e+00 -8.057294024234630569e+01 -6.059718992997831927e-02
3.547177434380273997e+00 8.283958444416961164e-01 -8.053689455508687445e+01 -6.291233875488312643e-02
3.468063377831111183e+00 1.299717445269436222e+00 -8.053139461590669157e+01 -6.013731796326667739e-02
3.471362761621804793e+00 1.257170660772140680e+00 -8.052981476526427684e+01 -6.025179711387280979e-02
3.545628979758008725e+00 1.066613076514934644e+00 -8.033449768888269205e+01 -6.285742431049909373e-02
3.497268973317154916e+00 1.061221764212301633e+00 -8.033134169284471682e+01 -6.115445135863412790e-02
3.565185122105629656e+00 8.761395092416577324e-01 -8.030773881813013304e+01 -6.355272477441666068e-02
3.537869227854951060e+00 8.627970124158975684e-01 -8.030643115638662266e+01 -6.258259336701493813e-02
3.529354960883450243e+00 8.961640850889553978e-01 -8.029195701077104275e+01 -6.228173219956310153e-02
3.491434380471295285e+00 1.340506650447966353e+00 -8.028355243035099420e+01 -6.095057016568489194e-02
3.555040298972069746e+00 8.181946993752953201e-01 -8.027094830025340855e+01 -6.319155763657711977e-02
3.498510262524408443e+00 1.055379744698173861e+00 -8.023746301867136310e+01 -6.119787028494302894e-02
3.547788234687141440e+00 1.048487757104746176e+00 -8.021959492268280201e+01 -6.293400679092252259e-02
3.511369116016544556e+00 1.260184179057445508e+00 -8.021262417142125400e+01 -6.164856534457404530e-02
3.502806803262370927e+00 1.297186073548097784e+00 -8.019650268538671867e+01 -6.134827750490575576e-02
3.469091854072511527e+00 1.314907061628595830e+00 -8.015550552594115175e+01 -6.017299145996127252e-02
3.499613960015668379e+00 1.050676402214499205e+00 -8.013295009140874470e+01 -6.123648934568273750e-02
3.512899999104435622e+00 1.251519102402308903e+00 -8.012880877924482093e+01 -6.170233201853972393e-02
3.553668638825744797e+00 8.241882956962345297e-01 -8.012704705981846587e+01 -6.314280397286811675e-02
3.548165197812159111e+00 8.352013268374575139e-01 -8.012416610790266702e+01 -6.294738135482699781e-02
3.564249458474852528e+00 8.754995770036237968e-01 -8.011938858303594202e+01 -6.351937101119140006e-02
3.481362199137589819e+00 1.177927336889514898e+00 -8.010113298488354872e+01 -6.059941380792057547e-02
3.476977825591866633e+00 1.217242391471340390e+00 -8.006421931651917134e+01 -6.044687399828772151e-02
3.530977614194486858e+00 8.938348372663305064e-01 -8.005999282387534777e+01 -6.233901455971296163e-02
3.547805553766407272e+00 8.381391520581606969e-01 -8.003882272954803057e+01 -6.293462123667881158e-02
3.479142893440426931e+00 1.363291269958482932e+00 -8.003110478931304783e+01 -6.052217636488511909e-02
3.556547590242280954e+00 8.243253586247351050e-01 -8.003037392793046934e+01 -6.324515380829087707e-02
3.473857570012923723e+00 1.250840350684398583e+00 -8.001970257001644882e+01 -6.033843208368047661e-02
3.509652227443512018e+00 9.954325170316532523e-01 -8.001913021470204512e+01 -6.158829378799603183e-02
3.554176403329473377e+00 8.266993863095304373e-01 -8.001830780712721491e+01 -6.316084952992015444e-02
3.516122870389126298e+00 1.233990054422583027e+00 -8.001813728484093247e+01 -6.181560019836734171e-02
3.527279878505311217e+00 1.175349677250353997e+00 -8.001756735381414387e+01 -6.220851670654221205e-02
3.549924772142968976e+00 8.343046958598889784e-01 -8.000017383584342667e+01 -6.300982943937154246e-02
3.561481353849052400e+00 8.335357707032928776e-01 -7.996223494971789592e+01 -6.342074716907239451e-02
3.543913951043234256e+00 1.070171209703052018e+00 -7.995305596329535547e+01 -6.279663046199433774e-02
3.562632714294528657e+00 8.898466122815732460e-01 -7.991610857365752452e+01 -6.346175928480800310e-02
3.547778351065006497e+00 1.041141491257126628e+00 -7.991210380006111791e+01 -6.293365614142767961e-02
3.561853255105716265e+00 9.035537978443652918e-01 -7.990463479328516883e+01 -6.343399305453593928e-02
3.490670855117643079e+00 1.113410003801625914e+00 -7.989362208419346700e+01 -6.092391509383868198e-02
3.510826231083711946e+00 1.256427585435137217e+00 -7.987365019078511352e+01 -6.162950412432730701e-02
3.502385818502081083e+00 1.039409996102713230e+00 -7.986171804106308514e+01 -6.133353210822246881e-02
3.491231962346485140e+00 1.110448873134480818e+00 -7.985343537557999127e+01 -6.094350307454843990e-02
3.530613399033093902e+00 1.153031387345458292e+00 -7.985080685161403835e+01 -6.232615486716008846e-02
3.486142529391614620e+00 1.344840899706579496e+00 -7.982037545793087929e+01 -6.076594867616483264e-02
3.539640913632600583e+00 1.096171872688410875e+00 -7.981478976784556778e+01 -6.264528898730915840e-02
3.510468188938064227e+00 9.951145212151224495e-01 -7.980338367729876836e+01 -6.161693452773045476e-02
3.561241306286289099e+00 9.046200498870802242e-01 -7.978898779687787624e+01 -6.341219820799837148e-02
3.475457105659002899e+00 1.354627343312932108e+00 -7.977501848791189332e+01 -6.039401046637826731e-02
3.495957666255090857e+00 1.080881270978551800e+00 -7.976923694336055348e+01 -6.110860002123869733e-02
3.519942871640769688e+00 9.479803020649717471e-01 -7.976582091208804570e+01 -6.194998909807334503e-02
3.530297042642376315e+00 1.152416624576490189e+00 -7.972670989241252926e+01 -6.231498604644754302e-02
3.560758438247529245e+00 8.463896065566977045e-01 -7.972469482765276894e+01 -6.339500327775492161e-02
3.471943306700030707e+00 1.300392324228317964e+00 -7.971835929231602336e+01 -6.027195162469570905e-02
3.549133026407267355e+00 8.435571373743012691e-01 -7.971400276715725397e+01 -6.298172619567404817e-02
3.532355304097263282e+00 1.139876032222132185e+00 -7.971029856937282432e+01 -6.238766997192034952e-02
3.524976726866145160e+00 1.182185083831057693e+00 -7.970777970866217288e+01 -6.212730462473981669e-02
3.515384908419814103e+00 9.714148460528884144e-01 -7.970686603131252923e+01 -6.178965527172892297e-02
3.559208736561475739e+00 9.286412552267191423e-01 -7.970134120907421504e+01 -6.333983415207766754e-02
3.473669329515900905e+00 1.345699276861970883e+00 -7.969583671932278435e+01 -6.033189305409724507e-02
3.561209002041790139e+00 8.958407392555667315e-01 -7.969281730192525970e+01 -6.341104778111741891e-02
3.476804273926324296e+00 1.233351807834996539e+00 -7.967962550050398818e+01 -6.044083979596177880e-02
3.517268437977307816e+00 1.221780137968307312e+00 -7.967045263674319244e+01 -6.185588632395665198e-02
3.509799783463630529e+00 1.257104386879386748e+00 -7.966663704981553451e+01 -6.159347260000674895e-02
3.509765496047700495e+00 1.257189727543107871e+00 -7.966312241310275510e+01 -6.159226918623480346e-02
3.478541897214767253e+00 1.217266917851515640e+00 -7.964154228687264947e+01 -6.050126865339257309e-02
3.473298872312758689e+00 1.339330281924733690e+00 -7.963930598810073036e+01 -6.031902528204541314e-02
3.557638432662998174e+00 9.444107132684309569e-01 -7.963689165085762056e+01 -6.328395608780418291e-02
3.554470516023931381e+00 9.768742169628673588e-01 -7.962753816169936272e+01 -6.317130324641716255e-02
3.555208656473035411e+00 8.395616875289884096e-01 -7.961763311888336148e+01 -6.319754295530403965e-02
3.475878365744027754e+00 1.246770442142257851e+00 -7.961080859306693469e+01 -6.040865206723686903e-02
3.558030066803317570e+00 9.380262931833711626e-01 -7.960198438152865208e+01 -6.329788978138210787e-02
3.553071369513060240e+00 9.888801470723191933e-01 -7.959995274677280008e+01 -6.312158078426706453e-02
3.520133149493151148e+00 9.504384441190492083e-01 -7.959198143846384710e+01 -6.195668695080285004e-02
3.472479277790370134e+00 1.311842882496177864e+00 -7.958698078549824118e+01 -6.029056167341765443e-02
3.484318270600858636e+00 1.168508068662361232e+00 -7.958014611575863739e+01 -6.070236905421478452e-02
3.516422576874584038e+00 1.223807300043674218e+00 -7.955931330904223842e+01 -6.182613869576644022e-02
3.553432340537959089e+00 8.426181378621954154e-01 -7.955087896688627325e+01 -6.313440699390539257e-02
3.511623194345998566e+00 1.246479812334184700e+00 -7.954846961813595385e+01 -6.165748729534397538e-02
3.522543076412483209e+00 1.192088983138358316e+00 -7.954233816899599674e+01 -6.204154862590760544e-02
3.476049944177989293e+00 1.344291476436228372e+00 -7.954088028062781746e+01 -6.041461607209900470e-02
3.503506674169738488e+00 1.281295214146382255e+00 -7.953280723492210313e+01 -6.137279507975951232e-02
3.559279735632879582e+00 8.521675526349516971e-01 -7.953095074572658518e+01 -6.334236118243431746e-02
3.515571401637666238e+00 1.227347313906678172e+00 -7.952733537179322809e+01 -6.179621140006311825e-02
3.473370181179867178e+00 1.291501005798801227e+00 -7.952103496237410241e+01 -6.032150207754732180e-02
3.478469073645078957e+00 1.223062353223777210e+00 -7.951176214293062117e+01 -6.049873548152627512e-02
3.475647924266456634e+00 1.254899067014856762e+00 -7.951129091367758406e+01 -6.040064246728864966e-02
3.522783563699792619e+00 9.398511586628542913e-01 -7.950526952993055829e+01 -6.205002018336706199e-02
3.544929371570943566e+00 8.589338286603085404e-01 -7.949375705815532456e+01 -6.283262124713182017e-02
3.474313656735906086e+00 1.334227475356099202e+00 -7.949300772656393121e+01 -6.035427692690811807e-02
3.499830077294678876e+00 1.062567388702202464e+00 -7.948562628456411971e+01 -6.124405284968238716e-02
3.510172755438563108e+00 1.251666599249392275e+00 -7.947705622689861116e+01 -6.160656386511577376e-02
3.503238907547232994e+00 1.042415683689328132e+00 -7.946663013660941033e+01 -6.136341421676365371e-02
3.554787145832793982e+00 8.459678799561899387e-01 -7.945555100563242945e+01 -6.318255826089030913e-02
3.560003866839783093e+00 8.903301710563863436e-01 -7.944633291768224126e+01 -6.336813765957104161e-02
3.560116632085711164e+00 8.797271979630767458e-01 -7.944415801426657708e+01 -6.337215217026653802e-02
3.546271388948195380e+00 1.040346442925143888e+00 -7.944396701357209167e+01 -6.288020382036282885e-02
3.474836977495360024e+00 1.332588859243228230e+00 -7.943073900412980493e+01 -6.037246010084545284e-02
3.534043018945661085e+00 8.948659828922060910e-01 -7.942688192596827434e+01 -6.244730029879281413e-02
3.473620950783179673e+00 1.309677772766296711e+00 -7.942003636647476128e+01 -6.033021254859919497e-02
3.473787364352054929e+00 1.317722521425568116e+00 -7.941671072464535541e+01 -6.033599326365998716e-02
3.494656293330366204e+00 1.310832363519166099e+00 -7.940544424371340426e+01 -6.106311304256766687e-02
3.494433937894253717e+00 1.311142504685776977e+00 -7.938832919387748177e+01 -6.105534273153569863e-02
3.557017080247272922e+00 8.522163999608454166e-01 -7.938721354603120517e+01 -6.326185254585417472e-02
3.474887878681608200e+00 1.275561284884095148e+00 -7.938032626475180109e+01 -6.037422884704184145e-02
3.476153123656570365e+00 1.335216331894809372e+00 -7.937711859174547158e+01 -6.041820269553664635e-02
3.494446330166845804e+00 1.100159579045460578e+00 -7.935431111591691433e+01 -6.105577577208268908e-02
3.557748384188021973e+00 9.264899567391914337e-01 -7.935095562703358496e+01 -6.328786782596240723e-02
3.476835867655390100e+00 1.334919608867949803e+00 -7.933596858830784981e+01 -6.044193825307504764e-02
3.525556905762901483e+00 9.310972933390873063e-01 -7.932957036209117518e+01 -6.214775747886242679e-02
3.483532840958562193e+00 1.335338637606190870e+00 -7.931534309551346951e+01 -6.067500527018414996e-02
3.484565030086150372e+00 1.333694576184365710e+00 -7.931059425518012063e+01 -6.071096724449646931e-02
3.479870710431168135e+00 1.337241627629371266e+00 -7.930239673056468064e+01 -6.054750080658361649e-02
3.501373473232253009e+00 1.057129040918395324e+00 -7.930119450006316129e+01 -6.129808099527245951e-02
3.554710279708970688e+00 9.604367487788780799e-01 -7.928477776099076380e+01 -6.317982586334314199e-02
3.527235331076261637e+00 9.248921474470412907e-01 -7.928316807294497437e+01 -6.220694540396332767e-02
3.554049502187996978e+00 9.668751258573026197e-01 -7.927178856195591550e+01 -6.315633932001374351e-02
3.505394016926373535e+00 1.268075302189144438e+00 -7.927068598736241256e+01 -6.143893606951608688e-02
3.477545550407645791e+00 1.245292410213544088e+00 -7.926082750929271015e+01 -6.046661527580007855e-02
