# level_assignment log_likelihood tiebreaker ID
0 -2.072611969856234789e+08 9.804772228698095393e-01 1
0 -7.065797046504652023e+09 5.736299578382495490e-01 4
0 -7.433296087500844002e+09 6.598997666676592599e-01 3
0 -4.756698702859776497e+09 5.949711407274872466e-01 1
0 -2.533060812894194603e+09 5.485845710250341067e-01 1
0 -3.904687560641610622e+09 6.758149896776943777e-01 4
2 -8.492213030004234985e+06 1.732298546413121310e-01 2
3 -6.030533751075249165e+05 7.625104151731982860e-01 2
0 -4.329464082970141411e+09 1.806008086914419053e-01 1
0 -8.424513107186585665e+08 1.612881783934436708e-01 3
2 -4.539396337035710923e+06 7.411519080156798722e-01 1
3 -1.042740808751614240e+05 9.903164152756822602e-01 0
3 -1.044287768210551701e+06 3.381619002928557549e-01 1
3 -1.841506098574999953e+06 4.799597119660650169e-01 2
5 -8.566847136260640400e+04 5.059521495927908896e-01 1
3 -2.075122648693200201e+06 5.265407318745150000e-01 3
0 -6.912885127126921713e+07 5.262176625948651321e-01 0
7 -1.690554088190998300e+03 9.578890561571640205e-02 1
7 -5.531926530401911805e+03 2.716860857590899792e-01 0
3 -3.539640681644405122e+05 1.478073468385360245e-01 1
5 -1.179594310297036427e+05 5.638016754171735201e-01 2
6 -2.091754208868697970e+04 6.637766807762934818e-01 1
0 -4.206079079969924688e+08 5.766691854928048810e-01 3
1 -2.792039727109429985e+07 1.647732040029317446e-01 1
7 -5.211571138189158773e+03 1.590911851865872695e-01 3
6 -2.417933655389914929e+04 2.141924636195684517e-01 4
8 -1.665896097601601241e+03 5.578567917578678426e-01 4
6 -3.506896417303123599e+04 1.590297785974866540e-01 1
11 -1.159712371567423332e+02 1.112021309077031450e-01 0
3 -9.676605399170152668e+04 5.050514773715896188e-01 1
11 -3.896009028356096451e+02 5.406935018757438316e-01 2
10 -2.852318472526912956e+02 2.289227926785319944e-01 1
7 -1.641194114741444719e+04 6.538126443025547019e-01 2
9 -1.567966359609763913e+03 7.824138664145863231e-01 2
7 -3.099526778964152982e+03 3.197116619047289943e-01 1
13 -1.130187749297693216e+02 2.090108316969718771e-01 2
