# m c logL logPrior
3.568579836279428541e+00 7.050104004219942544e-01 -8.433728433805018199e+01 -6.367381023950056951e-02
3.545175263935545829e+00 1.117605199169663166e+00 -8.300369847947095536e+01 -6.284133826010233903e-02
3.519903714844070830e+00 1.260928930006047999e+00 -8.293517877396209315e+01 -6.194861080886545496e-02
3.524364434514617006e+00 8.775700755028834621e-01 -8.285926599339181564e+01 -6.210572333635767939e-02
3.553749678155947667e+00 7.664341961705736228e-01 -8.281117921338842791e+01 -6.314568387496749535e-02
3.520558685054227421e+00 9.017080063007532065e-01 -8.241222855887883725e+01 -6.197166727455375584e-02
3.570834219532644127e+00 9.002927122843790153e-01 -8.225466238751688763e+01 -6.375428511692654565e-02
3.505841164463917803e+00 9.823940179831767150e-01 -8.205421985436828436e+01 -6.145461135224859067e-02
3.575203086880222259e+00 7.912920809147309109e-01 -8.204259289889222373e+01 -6.391038556218933686e-02
3.574079439930107238e+00 8.386758885898786264e-01 -8.193834092440906147e+01 -6.387021921465554919e-02
3.546726489056235998e+00 8.034250422118761614e-01 -8.189973920190016088e+01 -6.289634394086587865e-02
3.566008621453261807e+00 7.630847509967302322e-01 -8.189857497179421841e+01 -6.358208744139495772e-02
3.489903026500924987e+00 1.375555386329251339e+00 -8.189029717914874595e+01 -6.089711567190158464e-02
3.553926885644565825e+00 7.838627515388326694e-01 -8.183657775440349269e+01 -6.315198154253642837e-02
3.538734166014238625e+00 1.139279413211315761e+00 -8.181655073677515588e+01 -6.261319748858244771e-02
3.572712434510201263e+00 8.352318230274916599e-01 -8.158839965057748600e+01 -6.382137069851905042e-02
3.558688525070330844e+00 9.931767609676063202e-01 -8.148623654760595514e+01 -6.332132009233623626e-02
3.462440440746650250e+00 1.397238416556556784e+00 -8.146197594063254144e+01 -5.994246902858928888e-02
3.538805228048146567e+00 1.129963345833659982e+00 -8.128822402067606845e+01 -6.261571221030447221e-02
3.462877024862916819e+00 1.384077341520718818e+00 -8.125965947189004623e+01 -5.995758644661723646e-02
3.466963713916126011e+00 1.402515757582090128e+00 -8.120152776027813957e+01 -6.009918696805548188e-02
3.492755566703523051e+00 1.351596444305603217e+00 -8.108582406176476809e+01 -6.099670724369224417e-02
3.564336914304944148e+00 9.290475490554958027e-01 -8.105711762200459702e+01 -6.352248819338444930e-02
